id,name,category,indoor,neighborhood,transit,price_level,duration_hours,best_for,highlights,tips,text
TOR_001,Royal Ontario Museum,museum,true,Downtown,subway,medium,2,family;solo,"Dinosaurs, world cultures, interactive exhibits","Buy tickets online to skip lines","Royal Ontario Museum is a large indoor museum in Downtown Toronto near subway access. It is medium priced and great for families or solo travelers. Highlights include dinosaur fossils and world culture exhibits. Plan about 2 hours and buy tickets online to skip lines."
TOR_002,Distillery District,shopping,false,Old Toronto,streetcar,low,2,date;friends,"Historic streets, cafes, art galleries","Best visited in afternoon for photos","Distillery District is an outdoor historic pedestrian area in Old Toronto. It is low cost and perfect for couples or friends. Expect art galleries, cafes and cobblestone streets. Best visited in the afternoon."
TOR_003,CN Tower,landmark,true,Downtown,subway,high,1,family;solo,"SkyPod view, glass floor","Book tickets early morning to avoid crowds","CN Tower is an iconic indoor observation tower in Downtown Toronto with subway access. It is high priced but offers amazing skyline views. Expect about 1 hour visit."
TOR_004,Ripley’s Aquarium,attraction,true,Downtown,subway,medium,2,family,"Underwater tunnel, sharks","Arrive early to avoid peak crowds","Ripley’s Aquarium is a family friendly indoor attraction near CN Tower. Medium price and ideal for kids. Plan around 2 hours."
TOR_005,High Park,park,false,West End,subway,low,2,family;solo,"Nature trails, cherry blossoms","Spring cherry blossom season is busiest","High Park is a large outdoor park accessible by subway in the West End. Free to visit and great for walking or picnics."
TOR_006,St Lawrence Market,food,true,Downtown,streetcar,low,1,foodies,"Local food vendors, peameal bacon sandwich","Go before lunch rush","St Lawrence Market is an indoor food market in Downtown Toronto. Low cost and perfect for food lovers. Visit before lunch rush."
TOR_007,Toronto Islands,park,false,Harbourfront,ferry,low,4,family;date,"Beach, skyline view, biking","Take the ferry early morning","Toronto Islands are outdoor islands accessible by ferry. Low cost and ideal for half day trips with biking and beaches."
TOR_008,Aga Khan Museum,museum,true,North York,bus,medium,2,solo;date,"Islamic art, modern architecture","Combine with nearby park visit","Aga Khan Museum is an indoor museum in North York featuring Islamic art and architecture."
TOR_009,Kensington Market,shopping,false,Downtown,streetcar,low,2,friends,"Vintage shops, street art","Best visited daytime","Kensington Market is an outdoor neighborhood famous for vintage shops and street art."
TOR_010,Art Gallery of Ontario,museum,true,Downtown,subway,medium,2,solo;date,"Canadian art, modern art","Free entry certain evenings","Art Gallery of Ontario is a major indoor museum in Downtown Toronto with modern and Canadian art collections."
TOR_011,Casa Loma,landmark,true,Midtown,bus,medium,2,family;date,"Historic castle, gardens","Visit early to avoid crowds","Casa Loma is a historic indoor castle with impressive gardens located in Midtown Toronto. It offers guided tours and scenic views."
TOR_012,Eaton Centre,shopping,true,Downtown,streetcar,medium,3,shopping;friends,"Large shopping mall, food court","Visit weekdays to avoid crowds","Eaton Centre is one of Toronto’s largest indoor shopping malls in Downtown, with extensive shops and eateries."
TOR_013,Toronto Zoo,attraction,false,Scarborough,bus,medium,4,family,"Wildlife exhibits, kids zone","Wear comfortable shoes","Toronto Zoo has a wide range of animal exhibits and outdoor kid-friendly zones, great for a full day visit."
